# v3-autoresearch — falsified-lever journal (the loop reads this BEFORE proposing and
# APPENDS on every revert).  A lever here was already measured and killed; re-proposing it
# burns cycles.  This is the persistent memory autoresearch's single thread lacks.
#
# Seeded 2026-06-16 from the session record (PLAN_BEAT_TW_V2 do-not-repropose list +
# commit bodies).  Format: lever <TAB> verdict <TAB> evidence/commit
#
# lever	verdict	evidence
materialize-removal-as-the-firefox-RSS-lever	FALSIFIED	total materialize 72MB ceiling < 80MB; L1 took the cleanly-removable slice
broader-lookup-without-materialize	RETIRED	≤72MB ceiling, mostly a kMaxLayers cap-trade not a free win
upvalue-tuple-dedup-as-the-thunk-lever	MIS-MEASURED	12MB; the real lever was the 40→24B HEADER shrink (cu+capturedWiths), shipped FP-2a/2b
toString-int-as-realworld-lever	ABSENT-FROM-REAL-EVAL	2026-06-19 goal-item-1 profiling (sizing counters in primToString, then reverted). toString(int) fires only 156× in git.drvPath (10.9M ops) and 272× in firefox.drvPath (23.8M ops) = ~0.001% of dispatch, with ZERO large-int allocs (the shipped 0..1023 cache covers all of them). So NO toString(int) optimization — cache-widening, interpolation alloc-skip, faster format, anything — can move a REAL workload: the operation is essentially absent from real evaluation. The synthetic FOLD called it ~1M times (genList(j:{name=toString j;...})500) = pure benchmark artifact, which is exactly why the shipped small-int cache looked like ~8% there but measured real-world-NEUTRAL (git −0.8%). DEFINITIVE CLOSURE: goal "speed up toString(int)" has no real-world target. Don't re-attempt.
foldl-microopts-as-realworld-lever	BENCHMARK-TUNING	nonrec-attrset-demotion (c23a1f708) + small-int-toString-cache (862526228) = ~18% on synthetic FOLD, byte-identical, BUT real-world-NEUTRAL: hello ~1.1%, git −0.8% drvPath CPU. The synthetic FOLD is artificially dominated by record-construction + small-int toString; real nixpkgs evals aren't. LESSON: never keep on `foldl`/`fib` — gate on a REAL row. Real foldl hotspot per git.drvPath sample = forceValue→callClosure→dispatchLoop (~53%) = per-element dispatch, NOT record-build.
genList-listToAttrs-fusion	DO-NOT-SHIP	fragile AST-matching that games the FOLD benchmark but matches ~0 real nixpkgs (the fusion-kill pattern); genList BUILD already at TW parity; the build+force gap is callClosure dispatch (killing the App-pair doesn't remove the closure call). Attack callClosure/dispatch broadly instead.
genList-as-realworld-lever	ABSENT-FROM-REAL-EVAL	2026-06-19 goal-item-2 profiling (sizing counters in primGenList, then reverted). genList fires 74× in git.drvPath (209 App-pairs) and 173× in firefox.drvPath (423 App-pairs) = ~0.03% of total pair allocs (git 606,679 pairs / firefox 1,429,279). So the per-element App-thunk the goal targets is a rounding error in real eval — eliminating ALL genList App-pairs saves ~209×32B≈7KB + ~209 forces against a 4.8s/606K-pair eval = negligible. SAME finding as toString(int): genList was called ~1M times in the synthetic FOLD (2000 outer × 500 inner nested genList) = pure benchmark artifact. DEFINITIVE CLOSURE: goal "speed up genList App-thunk elimination" has no real-world target (App-thunk parity already established; volume is ~0 in real eval). Don't re-attempt. **UNIFYING LESSON: BOTH goal items (toString, genList) were over-fits to the synthetic FOLD row — ~1M calls each there, ~0.001-0.03% in real nixpkgs. The FOLD benchmark is misleading; always size on a real row first.**
GET_LOCAL+ATTRS_SELECT-superinstruction	NEUTRAL	autoresearch run-1 L2 (2026-06-18): fused GET_LOCAL/GET_UPVALUE + ATTRS_SELECT into one dispatch (byte-identical by construction, shares the SELECT body+IC past the A8 check; hello+git byte-id vs TW). git CPU cache-off NEUTRAL 4.9 vs 4.8s — the SELECT dispatch is NOT git.drvPath's bottleneck (per profile that's callClosure/lambda-apply via primFoldl/primFilter, NOT attr-select). Saved dispatch off the hot path → avoid-carcass revert.
reuseScope-extend-to-primFilter	NEUTRAL	L3 manual (2026-06-19): refactored callClosure→callClosureImpl(reuseScope) + callClosureReuse wrapper (gated on the EXISTING NIX_V3_NO_LEAFCALL_FAST, no new gate), routed primFilter's per-element callClosure through it (skip the per-element active-VM re-push, like callClosure2 does for primFoldl). Byte-identical (git cache-off arena 201.3MB IDENTICAL, …git-2.54.0.drv both arms). git CPU MARGINAL effect ~0: pre-L3 (foldl-reuse only) 4.82s vs L3 (foldl+filter reuse) 4.83s. **git's hot per-element dispatch is lib.foldl' (already reuse-scoped), NOT filter** — filter calls too few to register vs the 4.8s eval. REVERTED. NB primMap is LAZY (builds App thunks, no per-element callClosure in body) so it was never a target. **VALUABLE SUB-FINDING (not killed — already shipped): the leaf-call reuseScope lever IS ~3% on REAL git via foldl'** — same-binary A/B lever-ON 4.83 vs lever-OFF(NO_LEAFCALL_FAST=1) 4.99 (min-of-5 cache-off). The remaining git gap (3.49× cache-off) is the BODY-dispatch interpreter ceiling, not the per-element scope-push.
shapes-PICs-attr-access-as-CPU-lever	BELOW-BAR-FALSIFIED	2026-06-19 SP-1 falsifier (NO code; objective from user). v3 ALREADY has a 4-way polymorphic attr-select IC keyed on (Bindings* + slot + sym) (vm.cc:9032-9305) with a V3_DBG_NO_IC toggle. Bounded the WHOLE attr-lookup cost via that toggle (same-binary A/B): the binary search over sorted Bindings is so cheap that disabling the cache entirely is within noise (git min-of-5 IC-ON 3.11 == IC-OFF 3.11; firefox min-of-5 IC-ON 5.49 vs IC-OFF 5.82 = IC-on actually 6% FASTER). So a SHAPE-keyed cache (which only improves the existing per-object IC's misses) can't help — attribute access is NOT a meaningful git/firefox cost (the 4.3% op-COUNT is cost-negligible, like the 7% fusion bigram). Consistent with the diffuse-gap finding. **NOISE TRAP (lesson): min-of-3 mis-measured a phantom IC-removal win (hello −8.2%, firefox −7.8%) that REVERSED at min-of-5 (firefox +6%, sign flipped; absolute swung 7.34→5.49 = host contention). DO NOT remove the IC (would regress firefox). The laptop CANNOT measure CPU levers in the <10% range — sign-flips at this magnitude; darwin-4 (quiet host) is MANDATORY for any CPU candidate. Caught by the fib anomaly (fib has no attrsets yet showed +4.6% = obviously noise) + the user's standing host concern.**
strictness-analysis-as-git-CPU-lever	NEUTRAL-FALSIFIED	2026-06-19 measure-twice (NO code written). v3 ALREADY has ~5 default-on strictness passes (opt_func_strictness + cross-fn, opt_strict_call_unthunk, opt_strictness, opt_app_spine_fold dethunk). Rule-0 falsifier — same-binary git cache-off A/B, ALL strictness ON (default) 4.43s vs ALL OFF (NO_FUNC_STRICTNESS+NO_CROSS_FN_STRICTNESS+NO_STRICT_CALL_UNTHUNK+NO_OPT_STRICT+NO_DETHUNK_STRICT=1) 4.37s — OFF same-or-FASTER (within noise), byte-identical drvPath both arms. So removing ALL strictness costs ~0 on git ⇒ EXTENDING it gains ~0 (can't profit by adding more of what costs nothing to fully remove). Direction (ON slower) rules out a noise-masked win. git's thunks are cheap-to-make+force (nursery bump-alloc); eliminating them doesn't move CPU. KILLS the "strictness/demand analysis cuts git CPU" hypothesis — the last identified git CPU lever. **META: 3 independent levers now NEUTRAL on git (fusion ≤2.3%, scope-push captured, strictness 0) ⇒ git's 3.4× gap is DIFFUSE interpreter overhead (real primop/attr-lookup/string work + broad per-op cost), NOT concentrated in any addressable hot spot. No single CPU lever moves git ≥3%.** Laptop-measured but robust (3 levers agree, effect directions wrong for a hidden win); darwin-4 would tighten, not flip.
superinstruction-fusion-as-git-CPU-lever	BELOW-BAR	2026-06-19 measure-twice (NO code written — bounded before implementing). git cache-off opcode profile (11.3M ops): #1 bigram MAKE_THUNK→SET_LOCAL 7.04% (85% of all MAKE_THUNKs store-to-local), anchors most top trigrams → looked like the prime OP_MAKE_THUNK_SET_LOCAL fusion candidate. BUT bounded the WHOLE fusion lever via the existing gated stack-op fusions: git cache-off fuse-ON (SET_LOCAL_KEEP+GET_LOCAL2 default) 4.77s vs fuse-OFF (NIX_V3_NO_FUSE_SETGET=1) 4.66s — fusion-OFF same-or-FASTER (within ±0.1-0.2s noise) = the entire existing fusion suite is ≤2.3% (likely ~0) on git, so one more pairwise fusion is FAR below 3%. ROOT: MAKE_THUNK is a heap ALLOCATION not a dispatch — fusing make+store removes a dispatch+push/pop but NOT the alloc (the real cost). git's "body-dispatch ceiling" is THUNK-ALLOCATION-bound + heavy-opcode-bound (CALL_PRIMOP/ATTRS_SELECT_DYN/STR_CONCAT doing real work), NOT stack-op-dispatch-bound. The only remaining git CPU lever is ALLOCATING FEWER THUNKS (strictness/demand analysis — don't thunk a binding immediately forced) = large/risky/multi-week, NOT a peephole. Opcode counts (git): GET_UPVALUE 14.5%, SET_LOCAL 11.8%, GET_LOCAL+GET_LOCAL2 17.4%, MAKE_THUNK 8.3%, RETURN 7.1%, BRANCH_FALSE 4.5% — already heavily fused (GET_LOCAL2/SET_LOCAL_KEEP/GET_UPVALUE_REC_BINDING_SLOT/TAIL_CALL_N/CALL_N exist).
environment-sharing-as-realworld-lever	DEFER-BELOW-MEASURABLE-BAR	2026-06-19 ES-1 falsifier (NO code; objective from user). Env-sharing = closures/thunks reference a shared per-scope Env instead of copying upvalues inline (TW's representation). MEMORY (deterministic, the laptop-reliable axis) via the existing V3_DBG_UPVAL_DUP probe (commit f9dd326b5), re-confirmed post-FP-2/flip: firefox thunks-with-upvalues=1.86M, upvalue-bytes=29.8MB, recoverable-by-shared-frames=12.1MB (40.5%) vs arena 419.4MB = **2.9% of arena, BELOW the 5% arena bar**. The thunk tax was the HEADER (already shrunk FP-2 40→24B), not the upvalue tails. CPU axis: unmeasurable on the noisy laptop (the shapes+PICs IC episode proved sign-flips at <10%) + part of the diffuse gap → likely small. M5 axis: potentially larger absolute MB but UNVERIFIABLE on aarch64 (IFD needs x86_64-linux — same blocker that deferred the pair-tax FP-3). RISK: HIGHEST in the campaign — Env becomes a first-class MOVING-GC heap object under nursery+barriers (missed root = UAF, worse than the nursery-flip blocker), multi-week staged. VERDICT: a measured 2.9% firefox + unverifiable-M5-maybe does NOT justify the highest-risk multi-week change → DEFER (mirrors pair-tax FP-3). Revive ONLY if M5 upvalue-dup measured on x86_64-linux shows a large recoverable fraction that justifies the GC risk.
computed-goto-dispatch-on-apple-silicon	SCOPED-MARGINAL	2026-06-19 CG-2 scoping (codegen, NO refactor). dispatchLoop's 78-case switch is ALREADY compiled by clang to a single jump-table indirect branch (otool: exactly one `br x9` in the dispatch region). So computed-goto would NOT replace a compare-chain (its big-win case) — only swap one shared jump-table branch for 78 per-site branches, whose sole benefit is per-opcode-SEQUENCE branch prediction. On darwin-4's Apple Silicon (strong indirect-branch predictor) + dispatch being only ~3.5% of total CPU, expected gain is sub-bar — NOT worth the high-risk 78-case/132-break refactor (control-flow-bug-prone: nested breaks vs case-terminating breaks). forceValue (#1 profile leaf, 3355) is NOT a cheap-fast-path target either: it does inherent work (frame-push + dispatchLoop re-entry per thunk-force × ~896K thunks for git), not skippable overhead (callers already skip it for WHNF values). BOTH cheap core-loop levers scoped out → the 4.5× v3-vs-TW gap (darwin4) needs STRUCTURAL change: trivial-thunk inline-forcing (skip the frame/re-entry for 1-2-op thunk bodies), env-sharing (fewer/leaner thunks; measured 2.9% mem), or JIT. Revive computed-goto only if a future profile shows dispatch >10% OR on a weak-predictor target (x86).
trivial-thunk-inline-force	SUB-BAR-SAFE-SUBSET / VOLUME-FENCED-OFF	2026-06-19 TT-1/2/3. TT-1 falsifier PASSED (first one): ~28% of forced thunks have ≤4-word bodies (git 28.1%/firefox 27.8%). TT-2 IMPLEMENTED+VALIDATED the inline-force mechanism for the safe pure-value pattern `GET_UPVALUE n; RETURN` (memoize t->tail[n] inline replicating OP_RETURN's chase+self-cycle+thunkSetEvaluated barrier+cell-update, deliver via push+goto op_force_slow): BYTE-IDENTICAL (hello/git/firefox==TW) + UAF-safe (--brute 16/16, lone fail=stale firefox golden) — the hard force-path+nursery-barrier integration works. BUT it fires only 0.3% of forces (977/git) → negligible CPU. TT-3 SURVEY (first-op of ≤4-word bodies, git): GET_UPVALUE 65.5% / GET_UPVALUE_FORCE 10.2% / GET_UPVALUE_REC_BINDING 7.6% / LIST_INIT 5.3% / LIT_PRIMOP 5% / ATTRS_INIT 2% / LIT_STR 1.9%. The pure-value-return SAFE set (GET_UPVALUE;RETURN + LIT_*;RETURN) is only ~few% of forces → ~1% CPU = SUB-BAR. The VOLUME (dominant GET_UPVALUE;ATTRS_SELECT/FORCE/REC_BINDING;RETURN, 3-4 word) needs inlining OP_ATTRS_SELECT = the FENCED-OFF C-1 writeback/IC family (python3-passthru bug class) — too risky. Even full 28% coverage ceiling ≈3% (barely at bar). VERDICT: lever sub-bar within safe (non-fenced) bounds; TT-2 reverted (neutral force-path change shouldn't ship). Mechanism is proven+documented → revive ONLY if the safe inline-able set grows OR the ATTRS_SELECT-inline risk is separately retired. NB: confirms the core-loop 4.5× gap (darwin-4) is diffuse — even the first passing falsifier's lever is sub-bar within safe bounds.
